Temperature,A3,B3,C3,D3,E3,F3,G3,H3
81.3,13.48421911,8.215384955,19.30441066,12.73668894,14.51713003,11.57983817,9.224267372,8.271532552
81.4,9.279440977,11.93699543,18.09343825,10.59719587,13.65174347,11.89951917,8.671931542,9.384423624
81.5,6.632262977,12.56909244,18.47242156,11.14508686,14.0512384,12.37217686,8.687520875,5.999199424
81.6,7.249129918,12.09273449,18.3017149,13.34035486,14.79257643,13.54401985,8.019754357,3.950800038
81.7,8.376492024,12.37627226,18.27802783,13.29926067,13.37857403,14.12070173,9.113162354,3.425129095
81.8,6.421645514,11.24577075,17.72105167,15.10331969,11.64340744,13.88013399,11.09517879,1.200728817
81.9,7.899102968,9.24767257,14.86367819,17.68648537,10.81619712,14.8121337,10.73347287,0.410792836
82,12.47181125,7.569893975,12.75099211,18.56899469,8.874776479,15.66514741,8.362913518,3.080025632
82.1,11.89093653,4.488663371,11.05102734,16.20167104,9.005511832,14.06550867,6.824192165,6.637546218
82.2,9.253197862,5.072804539,7.28237374,13.24449191,12.90384555,12.05830887,4.138266327,9.946979068
82.3,11.72675402,7.938576692,7.417178537,12.72995009,15.65030734,10.97242323,1.373740048,12.93811122
82.4,10.66787953,8.024951533,11.74183556,11.8852128,16.20560436,9.712369704,1.547664992,13.12688472
82.5,4.321760496,8.30850716,12.65656726,9.866752009,17.43243473,9.115778205,3.249795081,11.36632393
82.6,4.458208674,11.49968867,13.35338708,9.983872302,16.76807655,9.331704869,5.660654883,7.397102813
82.7,7.13227638,12.06988126,15.61174005,12.63527273,12.19420719,8.184630701,8.993314601,2.462686846
82.8,5.550166751,9.832673466,14.63524966,11.4058439,9.407564407,7.600419069,11.65103607,0.35337393
82.9,5.397023794,11.42781117,10.71996738,10.29403431,8.969957492,7.091074407,11.1434316,0.778241055
83,7.715354699,12.88882399,9.098817263,12.40228816,8.636515054,4.708049194,9.026284455,1.669197564
83.1,7.220740221,12.50812409,8.517581171,13.05252463,9.145819675,5.439752417,7.727557758,5.098352879
83.2,4.035297468,12.48107949,8.093781007,12.25070315,11.50900047,8.797935724,7.354928238,8.546158088
83.3,3.676057277,12.32231549,9.640190864,13.352818,12.35989842,9.408541495,6.022334711,8.151629002
83.4,6.103219835,11.2795556,12.36734756,13.58918378,12.95755547,10.67272916,4.930847344,6.988820514
83.5,7.889215751,9.928269858,13.5558536,11.95615453,13.31428838,13.8295363,4.95842505,6.321471449
83.6,8.166553667,7.954850023,12.82628587,12.02176555,11.27162934,12.49591737,4.883987736,5.383863024
83.7,9.523219894,7.49585204,12.88908901,13.14863438,9.760217974,10.0426801,3.903733089,4.918040884
83.8,9.731536452,9.787600008,12.39164534,14.79652545,9.724251782,11.8552712,4.659474914,5.129204026
83.9,7.307965374,8.384435642,11.05045106,14.02645445,9.698358066,11.92274264,7.757276181,5.602420785
84,7.196846327,8.236065503,12.5438217,12.54800489,8.722680344,12.17130468,9.780622489,5.537113871
84.1,9.169565328,10.76940688,15.17204575,12.15100434,9.337883896,13.45894231,8.609350306,4.855859932
84.2,9.391336022,8.631076988,15.39318448,9.997817375,10.12289726,13.90533535,7.523156861,3.70445166
84.3,9.33875657,5.15846239,14.62603786,6.237337006,9.584752598,12.96248934,5.777841332,3.929855415
84.4,11.89413827,7.095318629,13.4086394,7.418893752,8.187924934,13.45129022,3.860689713,4.505894204
84.5,10.30223704,8.297575271,11.6782336,9.70796329,9.066404205,12.79146372,4.128552343,5.5780068
84.6,6.860028848,6.19325969,9.724191909,9.174614323,10.57865462,12.26498099,6.717802651,6.083596075
84.7,9.038640234,7.848532665,8.847042258,11.21984553,11.28679467,12.44452936,8.442519784,7.366362056
84.8,10.84209014,8.432847089,8.946765888,13.24661769,12.53253625,11.6635676,10.18475642,8.372022569
84.9,7.489299147,5.347043181,9.575832153,13.43631239,13.32979219,10.98931596,11.64137149,6.838094157
85,8.189916695,3.162905142,9.02458867,13.90834016,12.33002867,9.707614141,10.59972657,6.342898276
