Temperature,A3,B3,C3,D3,E3,F3,G3,H3
78,3227.475583,3238.502131,3325.151298,3375.936596,3288.571677,3333.408612,3282.507567,3191.913456
78.1,3226.806536,3236.41694,3323.274174,3373.615564,3287.048975,3331.487754,3281.784678,3190.50882
78.2,3225.66015,3234.303057,3321.210366,3371.442929,3285.54786,3329.957689,3280.964932,3189.644985
78.3,3224.667557,3232.446709,3319.136878,3369.392758,3284.201903,3328.273022,3280.384378,3189.063947
78.4,3223.759436,3230.857345,3317.013941,3367.643064,3282.817666,3326.703723,3279.726436,3188.346503
78.5,3222.511005,3229.584825,3314.768882,3366.197964,3281.495424,3325.021391,3279.042338,3187.892992
78.6,3221.273627,3228.897535,3312.416812,3364.77591,3280.067965,3323.621296,3278.696255,3187.757277
78.7,3220.246621,3228.46442,3310.188519,3363.214361,3278.61585,3321.841341,3278.233354,3187.26702
78.8,3219.159657,3227.695444,3307.902292,3361.314396,3277.181452,3320.111029,3277.641245,3186.421678
78.9,3217.945246,3226.821961,3305.805355,3359.581765,3275.647869,3318.443745,3276.838644,3185.915213
79,3217.073349,3225.761136,3303.948799,3357.736756,3274.024554,3316.759412,3275.886243,3185.354836
79.1,3216.259465,3224.539755,3302.295633,3355.743886,3272.119735,3314.971325,3274.838755,3184.533149
79.2,3215.693064,3223.207162,3300.694435,3353.925224,3270.2575,3313.536723,3273.822398,3183.679239
79.3,3214.851606,3222.232829,3299.179122,3352.415739,3268.415603,3312.022984,3272.729879,3182.98737
79.4,3214.177608,3221.197515,3297.434498,3350.439789,3266.856113,3310.339346,3271.940395,3182.008339
79.5,3213.46346,3220.184958,3295.848954,3348.263672,3265.377283,3308.728013,3271.180847,3180.965042
79.6,3212.50431,3218.913716,3294.186397,3346.332643,3264.101905,3307.179228,3270.434134,3180.075059
79.7,3211.348581,3217.461875,3292.432741,3343.979392,3262.70843,3305.395228,3269.620763,3179.295331
79.8,3210.343639,3215.856287,3290.592654,3341.514616,3261.270833,3303.980293,3268.783151,3178.534388
79.9,3209.025678,3214.374994,3288.806938,3339.275887,3259.513437,3302.59036,3268.022474,3177.758482
80,3207.580438,3212.902031,3286.652929,3337.206718,3257.787382,3301.125173,3267.468142,3177.074102
80.1,3206.47389,3211.511973,3284.517907,3335.101435,3256.246708,3299.691471,3266.728209,3176.222104
80.2,3205.153753,3210.355423,3282.551181,3333.152821,3254.82566,3298.249365,3266.249946,3175.490964
80.3,3203.932295,3209.220699,3280.592317,3331.344647,3253.576699,3296.535514,3265.868093,3174.642929
80.4,3203.212518,3207.924181,3279.093689,3329.561508,3252.538665,3294.909859,3265.18896,3174.038387
80.5,3202.798383,3206.68186,3277.970645,3327.747579,3251.540844,3293.311568,3264.285542,3173.536107
80.6,3202.132963,3205.699632,3276.874466,3325.780038,3250.413831,3291.655012,3263.769095,3173.173886
80.7,3201.691898,3204.885466,3275.822025,3324.202554,3249.176887,3290.254675,3263.04942,3172.342727
80.8,3201.193689,3203.943663,3274.956667,3322.296227,3247.74468,3288.921647,3262.301165,3171.748169
80.9,3200.132152,3203.416155,3273.64923,3320.438135,3246.156544,3287.713662,3261.6158,3171.214333
81,3198.639621,3202.97926,3272.079338,3318.611305,3244.434796,3286.612431,3260.891069,3170.491452
81.1,3197.202352,3202.274303,3270.49536,3317.177924,3242.71124,3285.707841,3259.772106,3169.555307
81.2,3195.814158,3201.320348,3268.683421,3315.457382,3241.145268,3284.643945,3258.670274,3169.090134
81.3,3194.356553,3200.665582,3266.685496,3314.062096,3239.640268,3283.556467,3257.689146,3168.396547
81.4,3193.198837,3199.597487,3264.854874,3312.882944,3238.238437,3282.340018,3256.80756,3167.484395
81.5,3192.460846,3198.349877,3263.032281,3311.866448,3236.877147,3281.17223,3255.939518,3166.635237
81.6,3191.78383,3197.119105,3261.169827,3310.608831,3235.422387,3279.849468,3255.079568,3166.26096
81.7,3190.995217,3195.921435,3259.372025,3309.243298,3233.973353,3278.478675,3254.290229,3165.808105
81.8,3190.172757,3194.68123,3257.534886,3307.906166,3232.759177,3277.044404,3253.236952,3165.608301
81.9,3189.624055,3193.698407,3255.886384,3306.204238,3231.625754,3275.676559,3252.134392,3165.524123
82,3188.520511,3192.829802,3254.54996,3304.420338,3230.613683,3274.088703,3251.147086,3165.429973
82.1,3187.256167,3192.207219,3253.329033,3302.580458,3229.78884,3272.607631,3250.451466,3164.874428
82.2,3186.195825,3191.835602,3252.377263,3301.198721,3228.713597,3271.291157,3249.809041,3164.106779
82.3,3185.295693,3191.131199,3251.766044,3299.873308,3227.231677,3270.174797,3249.619063,3162.903627
82.4,3183.940557,3190.30901,3250.784896,3298.656526,3225.640994,3269.096001,3249.453781,3161.599932
82.5,3183.286126,3189.520777,3249.490713,3297.518833,3223.988391,3268.213292,3249.257875,3160.345387
82.6,3182.920745,3188.582166,3248.26482,3296.625178,3222.214033,3267.25396,3248.776734,3159.393122
82.7,3182.323314,3187.286654,3246.79331,3295.46263,3220.734909,3266.377405,3248.102439,3158.888731
82.8,3181.587909,3186.23565,3245.229738,3294.187546,3219.734832,3265.606953,3247.003082,3158.823212
82.9,3181.182168,3185.232504,3243.944149,3293.180103,3218.787828,3264.858789,3245.860635,3158.741333
83,3180.451783,3183.948177,3243.03383,3292.051974,3217.926468,3264.225533,3244.823539,3158.637985
83.1,3179.710736,3182.700243,3242.090009,3290.730894,3217.031946,3263.835337,3244.038215,3158.340809
83.2,3179.074872,3181.444154,3241.315199,3289.476622,3216.05159,3263.068995,3243.255263,3157.622059
83.3,3178.831766,3180.210068,3240.416199,3288.240316,3214.763793,3262.134189,3242.587497,3156.731948
83.4,3178.262383,3179.004071,3239.355887,3286.828194,3213.592041,3261.173871,3242.04371,3156.022482
83.5,3177.622095,3177.966358,3237.98374,3285.566853,3212.187429,3259.964598,3241.572595,3155.326145
83.6,3176.721367,3177.029939,3236.696349,3284.39594,3210.989745,3258.519538,3241.053067,3154.762223
83.7,3175.970694,3176.33094,3235.406913,3283.129671,3209.922574,3257.494963,3240.612456,3154.235641
83.8,3174.851045,3175.466545,3234.132812,3281.756856,3208.999157,3256.411898,3240.223385,3153.759082
83.9,3174.087381,3174.454225,3232.942353,3280.232542,3207.974985,3255.154695,3239.619626,3153.202667
84,3173.332703,3173.761342,3231.849843,3278.974739,3207.078135,3254.023715,3238.701792,3152.653478
84.1,3172.593522,3172.750637,3230.403702,3277.704475,3206.192427,3252.696793,3237.748436,3152.113713
84.2,3171.536389,3171.721121,3228.876186,3276.589925,3205.205915,3251.354248,3236.990617,3151.691986
84.3,3170.720345,3171.055749,3227.359554,3275.735237,3204.202681,3249.949693,3236.261451,3151.337767
84.4,3169.616887,3170.559529,3225.968481,3275.218216,3203.307639,3248.733317,3235.833699,3150.89125
84.5,3168.444016,3169.648055,3224.693308,3274.215606,3202.507929,3247.284332,3235.426502,3150.42365
84.6,3167.598722,3168.973947,3223.636585,3273.33555,3201.473408,3246.172913,3234.943854,3149.786129
84.7,3166.937706,3168.328186,3222.718265,3272.323465,3200.408516,3244.816214,3234.096955,3149.190403
84.8,3165.798441,3167.43249,3221.837172,3271.090624,3199.206721,3243.706345,3233.258684,3148.325584
84.9,3164.888141,3166.734637,3220.914457,3269.720018,3197.918588,3242.485224,3232.07616,3147.578929
85,3164.212718,3166.34497,3219.942239,3268.403918,3196.593032,3241.52128,3230.9992,3146.940768
85.1,3163.239075,3166.044475,3219.049802,3266.953388,3195.494754,3240.522873,3229.990734,3146.317588
85.2,3162.433809,3165.706686,3217.749437,3265.647587,3194.612081,3239.656674,3229.294945,3145.846336
85.3,3162.082623,3165.382772,3216.505466,3264.544135,3193.940133,3238.789635,3228.580675,3145.60108
85.4,3161.758395,3164.652127,3215.233215,3263.49461,3193.386597,3238.167631,3227.941933,3145.313821
85.5,3161.374716,3163.765564,3213.938329,3262.387061,3192.860938,3237.606237,3227.472465,3144.913781
85.6,3161.032726,3162.853914,3212.698043,3261.348983,3192.201231,3236.896601,3226.817631,3144.686666
85.7,3160.345792,3161.867653,3211.764594,3260.297448,3191.096664,3235.997224,3226.058754,3144.129064
85.8,3159.65131,3161.10658,3210.778855,3259.03458,3189.813362,3234.679486,3224.984312,3143.570151
85.9,3158.727286,3160.596703,3209.613732,3257.562507,3188.303642,3233.36237,3224.165508,3142.850207
86,3157.75305,3159.907079,3208.217984,3256.448673,3186.790198,3232.091782,3223.009569,3142.095637
86.1,3156.797369,3159.077768,3206.678306,3255.171874,3185.33343,3231.052769,3222.126087,3141.339487
86.2,3156.054626,3158.251992,3205.249483,3253.821219,3184.134736,3230.136382,3221.223733,3140.730987
86.3,3155.142164,3157.170555,3203.974231,3252.751295,3183.321445,3229.724419,3220.782846,3139.986803
86.4,3154.445381,3156.078194,3202.959122,3251.94053,3182.675351,3228.884168,3220.069128,3139.540014
86.5,3154.026273,3155.460851,3202.389813,3250.87147,3182.148664,3227.902855,3219.618811,3139.216907
86.6,3153.882657,3154.815062,3201.884493,3250.202006,3181.611118,3226.480208,3219.030838,3138.884344
86.7,3153.776342,3154.426385,3201.492791,3249.888563,3181.405907,3225.425515,3218.29164,3138.449014
86.8,3153.687339,3154.053657,3200.957392,3249.19329,3180.665012,3224.207759,3217.218659,3138.219936
86.9,3153.62052,3153.598739,3200.461473,3248.405026,3179.909472,3223.483864,3216.164134,3137.847441
87,3153.285343,3152.925156,3199.565538,3247.802596,3179.068533,3222.950561,3215.121095,3137.312124
87.1,3152.494239,3152.276905,3198.661109,3246.773477,3178.235998,3222.933446,3214.181914,3136.468655
87.2,3151.660862,3151.401645,3197.427769,3245.322813,3177.034221,3222.544389,3213.441948,3135.802009
87.3,3150.983437,3150.581467,3196.197499,3244.29288,3176.21261,3222.317782,3212.925811,3134.993184
87.4,3150.020291,3149.878144,3194.749401,3243.383034,3175.343152,3221.955875,3212.636866,3134.08489
87.5,3149.011185,3149.061638,3193.673215,3242.490197,3174.310173,3221.486797,3212.255374,3133.192512
87.6,3148.276959,3148.382865,3192.641867,3241.971825,3173.447234,3220.969152,3211.804778,3132.746798
87.7,3147.500429,3148.004068,3191.549781,3241.548118,3172.508979,3220.446079,3211.266307,3132.013811
87.8,3146.571233,3147.700725,3190.342684,3241.028882,3171.423685,3219.715563,3210.826642,3131.280129
87.9,3145.894081,3147.429323,3189.506267,3240.271224,3170.431142,3218.811559,3210.221502,3130.66307
88,3145.315057,3147.188196,3188.520768,3239.251542,3169.662015,3217.6174,3209.455527,3130.084965
88.1,3144.73046,3146.863388,3187.615712,3237.712754,3168.762648,3216.407796,3208.737109,3129.19771
88.2,3144.234104,3146.14083,3187.105606,3236.247519,3168.310854,3215.337283,3208.124337,3128.669086
88.3,3143.669038,3145.376812,3186.957962,3234.795762,3167.918188,3214.286262,3207.1904,3128.316997
88.4,3143.204987,3144.364247,3186.454268,3233.424765,3167.591278,3213.446779,3206.311873,3127.952483
88.5,3142.750609,3143.613985,3185.962178,3232.455684,3167.270787,3212.886669,3205.79219,3127.739432
88.6,3142.329398,3142.925532,3185.387955,3232.201645,3167.0246,3212.078431,3205.310696,3127.590345
88.7,3141.923678,3142.25944,3184.824324,3232.052954,3166.486457,3211.391573,3204.679531,3127.252629
88.8,3141.718445,3141.762311,3183.882724,3231.904803,3166.081234,3210.766067,3204.151886,3126.582361
88.9,3141.211917,3141.630983,3183.091036,3232.016148,3165.576425,3209.882848,3203.617658,3125.831623
89,3140.628288,3141.141546,3182.1195,3231.776879,3165.063933,3208.998704,3202.67816,3125.048972
89.1,3139.91977,3140.73383,3181.158396,3231.08091,3164.409136,3208.082897,3201.485565,3124.315634
89.2,3139.079026,3140.406133,3179.742388,3230.112988,3163.558226,3206.758407,3200.33629,3123.538882
89.3,3138.195019,3139.710667,3178.731111,3229.093459,3162.549171,3205.330948,3199.106804,3122.791811
89.4,3137.452312,3138.500016,3177.575797,3227.79519,3161.469761,3204.1582,3197.948408,3122.098698
89.5,3136.72786,3137.54113,3176.650946,3226.641809,3160.230319,3202.893554,3196.986734,3121.298983
89.6,3135.948648,3136.484396,3175.77286,3225.702355,3159.043795,3201.915721,3196.064761,3120.359753
89.7,3135.236201,3135.602679,3175.258846,3224.85953,3158.262528,3201.461116,3195.306711,3119.484351
89.8,3134.481113,3134.817933,3174.4067,3223.759111,3157.404983,3201.160007,3194.738569,3118.802705
89.9,3133.792661,3134.376122,3173.82083,3222.878171,3156.657966,3200.914977,3193.972143,3118.274407
90,3133.156641,3133.958933,3173.24026,3221.976067,3156.079454,3200.894433,3193.429799,3117.607387
90.1,3132.807512,3133.342649,3172.569251,3220.868458,3155.586854,3200.848902,3193.045418,3117.034251
90.2,3132.409594,3132.585073,3172.036592,3219.952344,3154.779689,3200.321511,3192.52011,3116.424423
90.3,3132.077925,3132.093198,3171.739547,3219.466558,3154.246974,3199.690993,3191.929772,3115.847226
90.4,3131.62384,3131.615475,3171.21037,3218.843908,3153.591255,3198.835354,3191.344816,3115.168569
